size,density,text,query,answer
7,7,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adriana and Adam? Only name, one name, nothing else.",Albert
7,7,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Adrian? Only name, one name, nothing else.",Albert
7,8,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alan and Adam? Only name, one name, nothing else.",Albert
7,8,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adriana and Alan? Only name, one name, nothing else.",Albert
7,8,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Adriana? Only name, one name, nothing else.",Albert
7,9,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Adam? Only name, one name, nothing else.",Albert
7,9,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Adrian? Only name, one name, nothing else.",Albert
7,9,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Adriana? Only name, one name, nothing else.",Albert
9,1,Alejandra is parent for Alec and Albert. Alec is parent for Alan and Adriana. Albert is parent for Adrian. Alan is parent for Adam and Abigail. Adriana is parent for Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Aaron? Only name, one name, nothing else.",Alec
9,1,Alejandra is parent for Alec. Alec is parent for Albert. Albert is parent for Alan. Alan is parent for Adriana. Adriana is parent for Adrian. Adrian is parent for Adam. Adam is parent for Abigail. Abigail is parent for Aaron. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Albert and Adriana? Only name, one name, nothing else.",Albert
9,1,Alejandra is parent for Alec. Alec is parent for Albert and Alan. Albert is parent for Adriana. Alan is parent for Adrian. Adriana is parent for Adam and Abigail. Adrian is parent for Aaron. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Alec? Only name, one name, nothing else.",Alec
9,2,Alejandra is parent for Alec. Alec is parent for Albert. Albert is parent for Alan and Adriana and Adrian. Alan is parent for Adam and Abigail. Adriana is parent for Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Adrian? Only name, one name, nothing else.",Albert
9,2,Alejandra is parent for Alec and Albert. Alec is parent for Alan and Adriana. Albert is parent for Adrian and Adam and Abigail. Alan is parent for Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Adam? Only name, one name, nothing else.",Adam
9,2,Alejandra is parent for Alec and Albert. Alec is parent for Alan and Adriana. Albert is parent for Adrian and Adam and Abigail. Alan is parent for Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Albert? Only name, one name, nothing else.",Alejandra
9,3,Alejandra is parent for Alec and Albert. Alec is parent for Alan. Albert is parent for Adriana and Adrian and Adam and Abigail. Alan is parent for Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alec and Alan? Only name, one name, nothing else.",Alec
9,3,Alejandra is parent for Alec and Albert and Alan. Alec is parent for Adriana and Adrian. Albert is parent for Adam and Abigail. Alan is parent for Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Adrian? Only name, one name, nothing else.",Alejandra
9,3,Alejandra is parent for Alec. Alec is parent for Albert and Alan and Adriana. Albert is parent for Adrian and Adam and Abigail and Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Adriana? Only name, one name, nothing else.",Alec
9,4,Alejandra is parent for Alec and Albert and Alan and Adriana and Adrian. Alec is parent for Adam and Abigail. Albert is parent for Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alan and Adrian? Only name, one name, nothing else.",Alejandra
9,4,Alejandra is parent for Alec and Albert and Alan and Adriana. Alec is parent for Adrian and Adam and Abigail and Aaron. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Albert? Only name, one name, nothing else.",Alejandra
9,4,Alejandra is parent for Alec and Albert and Alan and Adriana. Alec is parent for Adrian and Adam and Abigail and Aaron. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Adrian? Only name, one name, nothing else.",Alec
9,5,Alejandra is parent for Alec and Albert and Alan and Adriana and Adrian and Adam and Abigail. Alec is parent for Aaron. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Abigail? Only name, one name, nothing else.",Alejandra
9,5,Alejandra is parent for Alec and Albert and Alan and Adriana. Alec is parent for Adrian and Adam and Abigail and Aaron. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adriana and Adriana? Only name, one name, nothing else.",Adriana
9,5,Alejandra is parent for Alec and Albert and Alan and Adriana. Alec is parent for Adrian and Adam and Abigail and Aaron. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alec and Adam? Only name, one name, nothing else.",Alec
9,6,Alejandra is parent for Alec and Albert and Alan and Adriana and Adrian. Alec is parent for Adam and Abigail and Aaron. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alec and Alan? Only name, one name, nothing else.",Alejandra
9,6,Alejandra is parent for Alec and Albert and Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alec is parent for no one. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Adriana? Only name, one name, nothing else.",Alejandra
9,6,Alejandra is parent for Alec and Albert and Alan. Alec is parent for Adriana and Adrian and Adam and Abigail and Aaron. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alan and Alan? Only name, one name, nothing else.",Alan
9,7,Alejandra is parent for Alec and Albert and Alan and Adriana and Adrian. Alec is parent for Adam and Abigail and Aaron. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Adriana? Only name, one name, nothing else.",Alejandra
9,7,Alejandra is parent for Alec and Albert and Alan and Adriana. Alec is parent for Adrian and Adam and Abigail and Aaron. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Alec? Only name, one name, nothing else.",Alec
9,7,Alejandra is parent for Alec and Albert and Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alec is parent for no one. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Albert? Only name, one name, nothing else.",Alejandra
9,8,Alejandra is parent for Alec and Albert and Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alec is parent for no one. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adriana and Adam? Only name, one name, nothing else.",Alejandra
9,8,Alejandra is parent for Alec and Albert and Alan and Adriana and Adrian and Adam. Alec is parent for Abigail and Aaron. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alan and Adriana? Only name, one name, nothing else.",Alejandra
9,8,Alejandra is parent for Alec and Albert and Alan and Adriana and Adrian and Adam and Abigail. Alec is parent for Aaron. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alan and Alan? Only name, one name, nothing else.",Alan
9,9,Alejandra is parent for Alec and Albert and Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alec is parent for no one. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alan and Albert? Only name, one name, nothing else.",Alejandra
9,9,Alejandra is parent for Alec and Albert and Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alec is parent for no one. Albert is parent for no one. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alan and Alec? Only name, one name, nothing else.",Alejandra
